ad_text,label,risk_score
"Earn 50000 daily without investment click now",Fake,95
"Congratulations you won a free iPhone claim now",Fake,92
"Get instant loan without documents no verification",Fake,88
"Work from home and earn money fast guaranteed",Fake,90
"Limited offer become rich in one day",Fake,94
"Click this link to claim your cash reward",Fake,89
"You have won a lottery send processing fee now",Fake,97
"Free gift card available only today click now",Fake,86
"Earn 100000 per month with no skills required",Fake,93
"Urgent offer double your money in 24 hours",Fake,96
"Get personal loan without credit check",Fake,85
"Claim free mobile phone by entering bank details",Fake,98
"Pay small registration fee and get government job",Fake,91
"Guaranteed income from home without any investment",Fake,94
"Win a luxury car by submitting your details",Fake,90
"Instant approval loan no salary proof required",Fake,87
"Click now to receive free shopping voucher",Fake,84
"Limited time prize waiting for you",Fake,82
"Secret method to earn money online quickly",Fake,89
"Make money daily using your mobile phone",Fake,88
"Congratulations selected for lucky draw prize",Fake,86
"Send OTP to verify and claim reward",Fake,99
"Investment plan gives 300 percent return weekly",Fake,96
"Earn cash by clicking ads no work needed",Fake,91
"Free recharge offer enter your card details",Fake,97
"Get job offer without interview pay form fee",Fake,93
"Urgent lottery winner confirmation required",Fake,95
"Claim your reward before account expires",Fake,88
"Exclusive crypto investment double profit today",Fake,94
"No documents required get instant money now",Fake,86
"Flat 30 percent discount on selected electronics",Genuine,20
"Official festival sale on mobile accessories",Genuine,25
"Buy one get one free on selected clothing items",Genuine,30
"Weekend sale on home appliances at our store",Genuine,22
"Special discount for students on laptops",Genuine,28
"New collection of sports shoes available now",Genuine,18
"Limited period offer on branded watches",Genuine,35
"Free delivery on orders above 999 rupees",Genuine,15
"Season end sale on fashion products",Genuine,24
"Official bank home loan interest rate update",Genuine,32
"Register for online coding course with certificate",Genuine,26
"Book movie tickets and get cashback offer",Genuine,27
"Mobile accessories available at discounted price",Genuine,21
"Apply for education loan with required documents",Genuine,34
"Store clearance sale on furniture items",Genuine,29
"Festival offer on grocery products",Genuine,19
"Official product launch sale starts tomorrow",Genuine,23
"Subscribe to annual plan and save 20 percent",Genuine,31
"Purchase insurance policy from verified provider",Genuine,33
"Online training program for data science beginners",Genuine,25
"Discount on restaurant orders this weekend",Genuine,20
"Branded headphones available with warranty",Genuine,18
"Official ecommerce sale on selected categories",Genuine,22
"Travel booking offer for verified users",Genuine,30
"Bank approved personal loan with documents",Genuine,36
"New smartphone sale with exchange offer",Genuine,24
"Join webinar on career development skills",Genuine,17
"Online grocery delivery with discount coupon",Genuine,19
"Official store offers cashback on payment",Genuine,28
"Winter collection sale on jackets and sweaters",Genuine,21
"Earn free reward now click urgent link",Fake,90
"Verified seller offers discount on electronics",Genuine,27
"Get rich quickly by joining secret group",Fake,96
"Official training course with limited seats",Genuine,23
"Claim lottery prize by sharing account number",Fake,99
"Festival discount available in official store",Genuine,20
"Instant cash without documents and guarantee",Fake,92
"Student laptop discount with valid ID proof",Genuine,25
"Double your salary in one week click now",Fake,95
"Home appliance sale with manufacturer warranty",Genuine,22